14585A Exported Waveform
Sampling Period:0.4999987
Date:Wed Apr  7 11:57:29 2021
Time,Active Instrument A Channel 1 Voltage Avg,Active Instrument A Channel 1 Current Avg
0,8.15869331359863,0.120066538453102
0.4999987,8.16097259521484,0.109210208058357
0.9999974,8.1611442565918,0.108461834490299
1.4999961,8.16076755523682,0.110455170273781
1.9999948,8.16123390197754,0.108286343514919
2.4999935,8.15941524505615,0.1173240467906
2.9999922,8.16108226776123,0.109046012163162
3.4999909,8.16125583648682,0.108284257352352
3.9999896,8.16127586364746,0.108235709369183
4.4999883,8.16126251220703,0.108395099639893
4.999987,8.1613302230835,0.108152747154236
5.4999857,8.16106796264648,0.109407119452953
5.9999844,8.16133689880371,0.108160965144634
6.4999831,8.16087913513184,0.110493324697018
6.9999818,8.16134548187256,0.108121275901794
7.4999805,8.15929317474365,0.118300706148148
7.9999792,8.16116619110107,0.1090207695961
8.4999779,8.16130542755127,0.108361154794693
8.9999766,8.15806865692139,0.124546706676483
9.4999753,8.15202522277832,0.154001921415329
9.999974,8.15817737579346,0.122920192778111
10.4999727,8.16099452972412,0.10944040864706
10.9999714,8.15986251831055,0.115109741687775
11.4999701,8.16089153289795,0.109994418919086
11.9999688,8.16127490997314,0.108144178986549
12.4999675,8.1595287322998,0.116864137351513
12.9999662,8.1611852645874,0.108583681285381
13.4999649,8.16113376617432,0.108834251761436
13.9999636,8.16126155853271,0.108290739357471
14.4999623,8.15962314605713,0.116287715733051
14.999961,8.16118907928467,0.10853036493063
15.4999597,8.16109561920166,0.108868807554245
15.9999584,8.16110229492188,0.108994536101818
16.4999571,8.16087627410889,0.110180839896202
16.9999558,8.16121959686279,0.108352318406105
17.4999545,8.15943813323975,0.117245063185692
17.9999532,8.16117763519287,0.108584895730019
18.4999519,8.16110706329346,0.108934946358204
18.9999506,8.15780448913574,0.125537350773811
19.4999493,8.15107440948486,0.158079743385315
19.999948,8.15909576416016,0.117809101939201
20.4999467,8.16100120544434,0.108823366463184
20.9999454,8.16098594665527,0.108979448676109
21.4999441,8.16088676452637,0.109515458345413
21.9999428,8.16108703613281,0.108598686754704
22.4999415,8.15888786315918,0.119414515793324
22.9999402,8.1610860824585,0.108514226973057
23.4999389,8.16095638275146,0.108945488929749
23.9999376,8.16100883483887,0.108656816184521
24.4999363,8.16105937957764,0.108539737761021
24.999935,8.1611270904541,0.108297348022461
25.4999337,8.16106033325195,0.108631730079651
25.9999324,8.16097450256348,0.108962960541248
26.4999311,8.1607494354248,0.109980709850788
26.9999298,8.15900611877441,0.118507660925388
27.4999285,8.15842914581299,0.121370710432529
27.9999272,8.16096305847168,0.108646988868713
28.4999259,8.16090679168701,0.109070040285587
28.9999246,8.15796279907227,0.123743809759617
29.4999233,8.15166854858398,0.154164627194405
29.999922,8.15894603729248,0.11771035194397
30.4999207,8.160813331604,0.108747221529484
30.9999194,8.16090106964111,0.108413644134998
31.4999181,8.16051006317139,0.110373489558697
31.9999168,8.15996742248535,0.112822920084
32.4999155,8.15875148773193,0.118994064629078
32.9999142,8.16082763671875,0.108602948486805
33.4999129,8.16085433959961,0.108629010617733
33.9999116,8.16073989868164,0.109150148928165
34.4999103,8.16089725494385,0.108283326029778
34.999909,8.16091060638428,0.108196258544922
35.4999077,8.16078567504883,0.108765535056591
35.9999064,8.16088199615479,0.108230017125607
36.4999051,8.16071701049805,0.109050698578358
36.9999038,8.16062450408936,0.109532780945301
37.4999025,8.15857791900635,0.119619183242321
37.9999012,8.16070652008057,0.108776196837425
38.4998999,8.16072082519531,0.108742669224739
38.9998986,8.15745449066162,0.125099062919617
39.4998973,8.15110301971436,0.155966565012932
39.999896,8.1571626663208,0.125359252095222
40.4998947,8.1605749130249,0.108709760010242
40.9998934,8.16063594818115,0.108497634530067
41.4998921,8.16052532196045,0.109221369028091
41.9998908,8.16021633148193,0.110684916377068
42.4998895,8.16045379638672,0.109378799796104
42.9998882,8.16065406799316,0.108328580856323
43.4998869,8.16062164306641,0.108532421290874
43.9998856,8.16052532196045,0.109011821448803
44.4998843,8.16039276123047,0.109631299972534
44.999883,8.16060733795166,0.10860738158226
45.4998817,8.1605806350708,0.10866841673851
45.9998804,8.1605920791626,0.108633637428284
46.4998791,8.16046047210693,0.109143830835819
46.9998778,8.160325050354,0.109660588204861
47.4998765,8.16037559509277,0.109418332576752
47.9998752,8.16059875488281,0.108311079442501
48.4998739,8.160475730896,0.108796708285809
48.9998726,8.15756797790527,0.123443096876144
49.4998713,8.15114784240723,0.15454275906086
49.99987,8.15812492370605,0.11957036703825
50.4998687,8.16030311584473,0.109085507690907
50.9998674,8.16047382354736,0.108259029686451
51.4998661,8.16044807434082,0.108437865972519
51.9998648,8.16005706787109,0.11038514226675
52.4998635,8.16032409667969,0.109090387821198
52.9998622,8.16042232513428,0.108622141182423
53.4998609,8.16042995452881,0.108546234667301
53.9998596,8.1604642868042,0.10832753777504
54.4998583,8.16030216217041,0.108958706259727
54.999857,8.16045761108398,0.108272515237331
55.4998557,8.16031932830811,0.108816809952259
55.9998544,8.16043186187744,0.108384437859058
56.4998531,8.16032123565674,0.108760677278042
56.9998518,8.15996742248535,0.110502861440182
57.4998505,8.15918254852295,0.114606350660324
57.9998492,8.15954303741455,0.112190507352352
58.4998479,8.16032981872559,0.108461894094944
58.9998466,8.15771675109863,0.12167452275753
59.4998453,8.15126037597656,0.152771800756454
59.999844,8.15838146209717,0.117131389677525
60.4998427,8.16010570526123,0.108959376811981
60.9998414,8.16009044647217,0.109095878899097
61.4998401,8.16019439697266,0.108593925833702
